Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index	note	Ins_RGB	Ins_CMYK	Categogy NickName
509029		509029	9029	Luminous Red		Luminous Red	Luminous Red	#C81908	0.62	Transparent Colors	1	to_bl,to_ldd			Luminous(Render Only)
509030		509030	9030	Luminous Amber		Luminous Amber	Luminous Amber	#F0A423	0.62	Transparent Colors	2	to_bl,to_ldd			Luminous(Render Only)
509031		509031	9031	Luminous Orange		Luminous Orange	Luminous Orange	#EF8E1B	0.62	Transparent Colors	5	to_bl,to_ldd			Luminous(Render Only)
509032	12	509032	9032	Luminous Yellow	Trans-Clear	Luminous Yellow	Luminous Yellow	#F4CC2E	0.62	Transparent Colors	8	to_bl,to_ldd			Luminous(Render Only)
509033		509033	9033	Luminous Green		Luminous Green	Luminous Green	#227740	0.62	Transparent Colors	12	to_bl,to_ldd			Luminous(Render Only)
509034		509034	9034	Luminous Cyan		Luminous Cyan	Luminous Cyan	#ADE8EE	0.62	Transparent Colors	14	to_bl,to_ldd			Luminous(Render Only)
509035		509035	9035	Luminous Blue		Luminous Blue	Luminous Blue	#001F9F	0.62	Transparent Colors	17	to_bl,to_ldd			Luminous(Render Only)
509036		509036	9036	Luminous Purple		Luminous Purple	Luminous Purple	#8429C4	0.62	Transparent Colors	20	to_bl,to_ldd			Luminous(Render Only)
509037		509037	9037	Luminous Magenta		Luminous Magenta	Luminous Magenta	#DE6594	0.62	Transparent Colors	21	to_bl,to_ldd			Luminous(Render Only)
															
509021	12	509021	9021	Luminous Soft White	Trans-Clear	Luminous Soft White	Luminous Soft White	#FBFBFB	0.62	Transparent Colors	-1	to_bl,to_ldd			Luminous Soft(Render Only)
509022	12	509022	9022	Luminous Soft Warm White	Trans-Clear	Luminous Soft Warm White	Luminous Soft Warm White	#FED4AA	0.62	Transparent Colors	-1	to_bl,to_ldd			Luminous Soft(Render Only)
509023	17	509023	9023	Luminous Soft Red	Trans-Red	Luminous Soft Red	Luminous Soft Red	#C81908	0.62	Transparent Colors	1	to_bl,to_ldd			Luminous Soft(Render Only)
509024	98	509024	9024	Luminous Soft Amber	Trans-Orange	Luminous Soft Amber	Luminous Soft Amber	#F0A423	0.62	Transparent Colors	2	to_bl,to_ldd			Luminous Soft(Render Only)
509025	74	509025	9025	Luminous Soft Green	Trans-Medium Blue	Luminous Soft Green	Luminous Soft Green	#227740	0.62	Transparent Colors	12	to_bl,to_ldd			Luminous Soft(Render Only)
509026	74	509026	9026	Luminous Soft Blue	Trans-Medium Blue	Luminous Soft Blue	Luminous Soft Blue	#001F9F	0.62	Transparent Colors	17	to_bl,to_ldd			Luminous Soft(Render Only)
															
509000	50	509000	9000	Translucent Dark Pink	Trans-Dark Pink	Translucent Dark Pink	Translucent Dark Pink	#FB96AB	0.5019608	Transparent Colors	0	to_bl,to_ldd			Translucent(Render Only)
509001	50	509001	9001	Translucent Light Purple	Trans-Dark Pink	Translucent Light Purple	Translucent Light Purple	#956F9E	0.5019608	Transparent Colors	21	to_bl,to_ldd			Translucent(Render Only)
509002	20	509002	9002	Translucent Green	Trans-Green	Translucent Green	Translucent Green	#227740	0.5019608	Transparent Colors	12	to_bl,to_ldd			Translucent(Render Only)
509003	16	509003	9003	Translucent Neon Green	Trans-Neon Green	Translucent Neon Green	Translucent Neon Green	#BFFE00	0.5019608	Transparent Colors	9	to_bl,to_ldd			Translucent(Render Only)
509004	14	509004	9004	Translucent Dark Blue	Trans-Dark Blue	Translucent Dark Blue	Translucent Dark Blue	#001F9F	0.5019608	Transparent Colors	17	to_bl,to_ldd			Translucent(Render Only)
509005	12	509005	9005	Translucent Light Blue	Trans-Clear	Translucent Light Blue	Translucent Light Blue	#ADE8EE	0.5019608	Transparent Colors	16	to_bl,to_ldd			Translucent(Render Only)
509006	18	509006	9006	Translucent Red	Trans-Neon Orange	Translucent Red	Translucent Red	#C81908	0.5019608	Transparent Colors	1	to_bl,to_ldd			Translucent(Render Only)
509007	19	509007	9007	Translucent Yellow	Trans-Yellow	Translucent Yellow	Translucent Yellow	#F4CC2E	0.5019608	Transparent Colors	8	to_bl,to_ldd			Translucent(Render Only)
